Co-Occurring Word,Percent Co-Occurrence,word
dollar,25.0,pipeline
construction,25.0,pipeline
border,25.0,pipeline
access,25.0,pipeline
job,25.0,pipeline
dakota,25.0,pipeline
new,25.0,pipeline
httpstcoaoxmfo0vok,12.5,pipeline
since,12.5,pipeline
supreme,12.5,pipeline
fracking,12.5,pipeline
great,27.941176470588236,police
officer,21.323529411764707,police
law,20.588235294117645,police
enforcement,16.176470588235293,police
radical,15.441176470588236,police
job,15.441176470588236,police
left,15.441176470588236,police
want,14.705882352941178,police
thank,14.705882352941178,police
democrat,13.970588235294118,police
defund,13.23529411764706,police
biden,12.5,police
get,11.76470588235294,police
crime,10.294117647058822,police
support,10.294117647058822,police
mayor,10.294117647058822,police
would,10.294117647058822,police
never,9.558823529411764,police
order,9.558823529411764,police
joe,8.823529411764707,police
many,8.088235294117647,police
trump,8.088235294117647,police
family,8.088235294117647,police
first,7.352941176470589,police
new,7.352941176470589,police
people,31.428571428571427,protest
great,22.857142857142858,protest
right,14.285714285714285,protest
peaceful,14.285714285714285,protest
vote,14.285714285714285,protest
take,14.285714285714285,protest
iran,14.285714285714285,protest
dc,11.428571428571429,protest
big,11.428571428571429,protest
far,11.428571428571429,protest
election,11.428571428571429,protest
world,11.428571428571429,protest
country,11.428571428571429,protest
must,11.428571428571429,protest
order,11.428571428571429,protest
large,11.428571428571429,protest
place,11.428571428571429,protest
small,8.571428571428571,protest
national,8.571428571428571,protest
pittsburgh,8.571428571428571,protest
need,8.571428571428571,protest
sad,8.571428571428571,protest
yesterday,8.571428571428571,protest
money,8.571428571428571,protest
protester,8.571428571428571,protest
great,40.60606060606061,proud
people,18.181818181818183,proud
congratulation,13.939393939393941,proud
country,13.939393939393941,proud
job,12.121212121212121,proud
state,10.303030303030303,proud
america,9.696969696969697,proud
many,9.090909090909092,proud
american,9.090909090909092,proud
today,8.484848484848486,proud
win,7.878787878787878,proud
make,7.878787878787878,proud
keep,7.878787878787878,proud
done,7.2727272727272725,proud
thank,7.2727272727272725,proud
im,6.666666666666667,proud
support,6.666666666666667,proud
never,6.666666666666667,proud
big,6.666666666666667,proud
million,6.0606060606060606,proud
usa,6.0606060606060606,proud
together,5.454545454545454,proud
new,5.454545454545454,proud
first,5.454545454545454,proud
well,5.454545454545454,proud
president,51.06382978723404,putin
russia,48.93617021276596,putin
fake,25.53191489361702,putin
meeting,25.53191489361702,putin
news,23.404255319148938,putin
great,19.148936170212767,putin
medium,17.02127659574468,putin
good,17.02127659574468,putin
vladimir,17.02127659574468,putin
along,14.893617021276595,putin
said,12.76595744680851,putin
got,12.76595744680851,putin
would,10.638297872340425,putin
well,10.638297872340425,putin
crazy,10.638297872340425,putin
obama,10.638297872340425,putin
see,10.638297872340425,putin
even,8.51063829787234,putin
thing,8.51063829787234,putin
election,8.51063829787234,putin
many,8.51063829787234,putin
bad,8.51063829787234,putin
going,8.51063829787234,putin
time,8.51063829787234,putin
better,8.51063829787234,putin
people,45.45454545454545,riot
country,18.181818181818183,riot
tear,18.181818181818183,riot
gas,18.181818181818183,riot
must,18.181818181818183,riot
know,18.181818181818183,riot
medium,18.181818181818183,riot
problem,18.181818181818183,riot
run,18.181818181818183,riot
federal,18.181818181818183,riot
protect,18.181818181818183,riot
city,18.181818181818183,riot
would,18.181818181818183,riot
peaceful,18.181818181818183,riot
protest,18.181818181818183,riot
falsely,18.181818181818183,riot
state,18.181818181818183,riot
used,18.181818181818183,riot
many,18.181818181818183,riot
rioter,18.181818181818183,riot
violent,18.181818181818183,riot
claimed,18.181818181818183,riot
suppress,9.090909090909092,riot
military,9.090909090909092,riot
cause,9.090909090909092,riot
collusion,23.47266881028939,russia
fake,19.292604501607716,russia
trump,18.006430868167204,russia
news,17.363344051446948,russia
democrat,15.434083601286176,russia
hoax,14.14790996784566,russia
president,13.504823151125404,russia
hunt,13.183279742765272,russia
witch,13.183279742765272,russia
hillary,11.89710610932476,russia
campaign,10.610932475884244,russia
obama,9.967845659163988,russia
clinton,9.967845659163988,russia
election,9.967845659163988,russia
people,9.646302250803858,russia
medium,9.32475884244373,russia
get,9.003215434083602,russia
year,8.681672025723474,russia
great,8.681672025723474,russia
fbi,8.681672025723474,russia
country,8.681672025723474,russia
dems,8.360128617363344,russia
story,8.038585209003216,russia
big,8.038585209003216,russia
never,7.717041800643088,russia
border,66.66666666666666,separation
administration,66.66666666666666,separation
child,66.66666666666666,separation
policy,66.66666666666666,separation
family,66.66666666666666,separation
obama,66.66666666666666,separation
2014,66.66666666666666,separation
built,33.33333333333333,separation
jail,33.33333333333333,separation
year,33.33333333333333,separation
secnielsen,33.33333333333333,separation
press,33.33333333333333,separation
realized,33.33333333333333,separation
exact,33.33333333333333,separation
force,33.33333333333333,separation
conference,33.33333333333333,separation
picture,33.33333333333333,separation
explaining,33.33333333333333,separation
show,33.33333333333333,separation
used,33.33333333333333,separation
separated,33.33333333333333,separation
kid,33.33333333333333,separation
medium,33.33333333333333,separation
time,33.33333333333333,separation
security,33.33333333333333,separation
enforcement,28.26086956521739,shooting
